day,month,year,region,district,landing_site,cfmas,fishing_ground,craft_type,gear_type,propulsion_mode,number_of_fishers,species,local_name,priority,code,number_fish,weight,value_tsh
8,11,2023,Pwani,Mafia,Bwejuu,MIMP,MAIMBWA - BWEJUU,BT,DM,O,3,serranidae spp,Chewa,Reef Fish,CEW,2,4,6000333
7,11,2023,Lindi,Kilwa,Funguni,NYAMANJISOPOJA,Vijambani,DC,HL,P,2,lethrinus borbonicus,Changu Chole,Reef Fish,LHB,102,389,95
7,11,2023,Pwani,Mafia,Kilindoni,DOKICHUNDA,Mwamba Mrefu-mkisami,BT,RN,O,15,mnendele,Mnendele,Reef Fish,MNL,30,20,250000
7,11,2023,Pwani,Mafia,Kilindoni,DOKICHUNDA,Mwamba Mrefu-mkisami,BT,RN,O,15,mnendele,Mnendele Wengineo,Reef Fish,MNL,30,20,250000
7,11,2023,Pwani,Mafia,Kilindoni,DOKICHUNDA,"
DIMA",BT,RN,O,12,caranx tille,Kolekole,Reef Fish,NXT,3,120,500000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,9,18,54000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,14,25,75000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,anguilliformes,Mkunga,Reef Fish,ELE,2,8,24000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,9,18,54000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,6,8,24000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,14,25,75000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,10,23,69000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,anguilliformes,Mkunga,Reef Fish,ELE,2,8,24000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,fenneropenaeus indicus,Kamba Mti / Weupe,Prawn,PNI,120,3,15000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,6,8,24000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,fenneropenaeus indicus,Kamba Mti / Weupe,Prawn,PNI,160,4,20000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,10,23,69000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,penaeus bubulus,Kamba Mti / Weusi,Prawn,PBA,20,2,30000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,fenneropenaeus indicus,Kamba Mti / Weupe,Prawn,PNI,120,3,15000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,saradini,Mbarata,Small Pelagic,CL,500,25,50000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,fenneropenaeus indicus,Kamba Mti / Weupe,Prawn,PNI,160,4,20000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,saradini,Mbarata,Small Pelagic,CL,100,5,10000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,penaeus bubulus,Kamba Mti / Weusi,Prawn,PBA,20,2,30000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,saradini,Mbarata,Small Pelagic,CL,500,25,50000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,saradini,Mbarata,Small Pelagic,CL,100,5,10000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,saradini,Mbarata,Small Pelagic,CL,500,25,50000
7,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,saradini,Mbarata,Small Pelagic,CL,100,5,10000
7,11,2023,Pwani,Mafia,Kitoni,MIMP,NYAMALILE,OC,HL,S,3,lethrinus borbonicus,Changu Chole,Reef Fish,LHB,120,30,90000
7,11,2023,Pwani,Mafia,Kitoni,MIMP,NA,OC,HL,S,2,lethrinus spp,Changu Wengineo,Reef Fish,LZX,34,10,40000
7,11,2023,Pwani,Mafia,Kitoni,MIMP,NA,OC,HL,S,2,lethrinus spp,Koe,Reef Fish,LZX,34,10,40000
7,11,2023,Pwani,Mafia,Kitoni,MIMP,MANGE,OC,HL,S,3,lethrinus borbonicus,Changu Chole,Reef Fish,LHB,13,36,98000
7,11,2023,Pwani,Mafia,Kitoni,MIMP,MANGE,BT,DM,O,4,siganus sp.,Tasi,Reef Fish,SGL,72,23,69000
7,11,2023,Pwani,Mafia,Kitoni,MIMP,NYAMALILE,BT,DM,O,4,siganus sp.,Tasi,Reef Fish,SGL,85,21,63000
7,11,2023,Pwani,Mafia,Kitoni,MIMP,NYAMALILE,BT,DM,O,4,siganus sp.,Tasi,Reef Fish,SGL,136,101,30300
7,11,2023,Pwani,Mafia,Kitoni,MIMP,NYAMALILE,BT,DM,O,3,siganus sp.,Tasi,Reef Fish,SGL,106,31,93000
7,11,2023,Pwani,Mafia,Kitoni,MIMP,NYAMALILE,PC,HL,S,4,lethrinus spp,Changu Wengineo,Reef Fish,LZX,102,21,84000
7,11,2023,Pwani,Mafia,Kitoni,MIMP,NYAMALILE,PC,HL,S,4,lethrinus spp,Koe,Reef Fish,LZX,102,21,84000
7,11,2023,Pwani,Mafia,Kitoni,MIMP,NYAMALILE,PC,HL,S,3,lethrinus spp,Changu Wengineo,Reef Fish,LZX,152,34,136000
7,11,2023,Pwani,Mafia,Kitoni,MIMP,NYAMALILE,PC,HL,S,3,lethrinus spp,Koe,Reef Fish,LZX,152,34,136000
7,11,2023,Pwani,Mafia,Kitoni,MIMP,NYAMALILE,DC,HL,P,2,lethrinus borbonicus,Changu Chole,Reef Fish,LHB,120,24,96000
7,11,2023,Pwani,Mafia,Kitoni,MIMP,NA,DC,HL,P,1,lethrinus spp,Changu Wengineo,Reef Fish,LZX,85,21,84000
7,11,2023,Pwani,Mafia,Kitoni,MIMP,NA,DC,HL,P,1,lethrinus spp,Koe,Reef Fish,LZX,85,21,84000
7,11,2023,Pwani,Mafia,Bwejuu,MIMP,DODOMA,DC,HL,P,1,lutjanus ssp,Tembo Uzi,Small Pelagic,LTJ,10,2,6000
7,11,2023,Pwani,Mafia,Bwejuu,MIMP,MAWE MATATU - BWEJUU,DC,HL,P,1,lethrinus borbonicus,Changu Chole,Reef Fish,LHB,20,6,18000
7,11,2023,Pwani,Mafia,Bwejuu,MIMP,KIJAMBA KIKUBWA,DC,DM,P,2,upeneus spp,Mkundaji,Reef Fish,GOX,6,2,6000
7,11,2023,Pwani,Mafia,Kiegeani,MIMP,NA,KT,HL,P,1,gerres spp,Chaa,Reef Fish,MOJ,20,6,18000
7,11,2023,Pwani,Mafia,Kiegeani,MIMP,"
JAMBANI",MS,SK,O,4,scomberomorus plurilineatus,Nguru Kanadi Madoa(kishuea),Tuna,KAK,30,101,120000
7,11,2023,Pwani,Mafia,Kiegeani,MIMP,NYAMALILE,OC,DM,P,4,pono,Pono Wengine,Reef Fish,PNW,58,6,18000
7,11,2023,Pwani,Mafia,Kiegeani,MIMP,MWAMBA MAPANGA,OC,HL,S,2,lethrinus spp,Changu Wengineo,Reef Fish,LZX,128,10,40000
7,11,2023,Pwani,Mafia,Kiegeani,MIMP,MWAMBA MAPANGA,OC,HL,S,2,lethrinus spp,Koe,Reef Fish,LZX,128,10,40000
7,11,2023,Lindi,Kilwa,Masoko Pwani,SOMAKI,"
MAWARANI",DC,HL,P,2,lethrinus spp,Changu Wengineo,Reef Fish,LZX,13,8,56000
7,11,2023,Lindi,Kilwa,Masoko Pwani,SOMAKI,"
MAWARANI",DC,HL,P,2,lethrinus spp,Koe,Reef Fish,LZX,13,8,56000
7,11,2023,Lindi,Kilwa,Masoko Pwani,SOMAKI,"
MAWARANI",DC,HL,P,2,lethrinus borbonicus,Changu Chole,Reef Fish,LHB,123,10,42000
7,11,2023,Lindi,Kilwa,Masoko Pwani,SOMAKI,"
MAWARANI",NG,SP,O,4,octopus cyanea,Pweza,Octopus,OCC,24,36,190000
7,11,2023,Lindi,Kilwa,Masoko Pwani,SOMAKI,"
MAWARANI",NG,SP,O,3,octopus cyanea,Pweza,Octopus,OCC,11,18,100000
7,11,2023,Lindi,Kilwa,Masoko Pwani,SOMAKI,LUANGALE,DC,SP,O,3,octopus cyanea,Pweza,Octopus,OCC,17,22,130000
7,11,2023,Lindi,Kilwa,Magengeni,TIM4SI,"
NYUNI",BT,RN,O,67,serranidae spp,Chewa,Reef Fish,CEW,1,6,36000
7,11,2023,Lindi,Kilwa,Magengeni,TIM4SI,MWAMBA KISWASI,BT,RN,O,12,caranx tille,Kolekole,Reef Fish,NXT,3,7,171000
7,11,2023,Pwani,Mafia,Bweni Bandarini,BK,"
FURU",DC,DM,P,1,milea,Komba,Reef Fish,KOM,86,60,120000
7,11,2023,Pwani,Mafia,Bweni Bandarini,BK,"
FURU",DC,DM,P,1,milea,Mlea,Reef Fish,KOM,86,60,120000
7,11,2023,Pwani,Mafia,Bwejuu,MIMP,MARUZUKU - BWEJUU,DC,DM,P,2,lethrinus borbonicus,Changu Chole,Reef Fish,LHB,5,1,30000
7,11,2023,Pwani,Mafia,Bweni Bandarini,BK,"
KAPANI",DC,DM,P,1,vikande,Kikande,Reef Fish,KKN,5,4,8000
7,11,2023,Pwani,Mafia,Bweni Bandarini,BK,"
KABINDA",DC,HL,P,1,siganus sp.,Tasi,Reef Fish,SGL,59,16,42000
7,11,2023,Pwani,Mafia,Bweni Bandarini,BK,"
HAKOSWA",MS,DM,S,4,lutjanus fulviflamma,Kelea,Reef Fish,LDW,6,4,8000
7,11,2023,Pwani,Mafia,Bweni Bandarini,BK,"
JUMBANI",DC,SP,P,1,siganus sp.,Tasi,Reef Fish,SGL,39,14,28000
7,11,2023,Pwani,Mafia,Bweni Bandarini,BK,"
JAMBANI",DC,HL,P,1,siganus sp.,Tasi,Reef Fish,SGL,56,20,40000
7,11,2023,Pwani,Mafia,Bwejuu,MIMP,KWA MAMBO,BT,DM,O,3,serranidae spp,Chewa,Reef Fish,CEW,2,1,3000
7,11,2023,Pwani,Mafia,Bweni Bandarini,BK,"
FURU",DC,HL,P,1,siganus sp.,Tasi,Reef Fish,SGL,36,10,20000
7,11,2023,Pwani,Mafia,Bweni Bandarini,BK,"
KITUMBINI",MS,SK,S,5,panulirus ornatus,Kamba Mwanzi,Reef Fish,NUR,3,2,120000
7,11,2023,Pwani,Mafia,Bweni Bandarini,BK,"
KITUMBINI",MS,SK,S,5,panulirus ornatus,Kamba Koche,Reef Fish,NUR,3,2,120000
7,11,2023,Pwani,Mafia,Bweni Bandarini,BK,NA,DC,SP,P,1,octopus cyanea,Pweza,Octopus,OCC,9,5,25000
5,11,2023,Pwani,Mafia,Bwejuu,MIMP,MLIMA,DC,HL,P,1,lethrinus borbonicus,Changu Chole,Reef Fish,LHB,61,12,36000
5,11,2023,Pwani,Mafia,Bwejuu,MIMP,MAWE MATATU - BWEJUU,BT,GN,O,5,siganus sp.,Tasi,Reef Fish,SGL,28,8.5,25500
5,11,2023,Pwani,Mafia,Bwejuu,MIMP,BWEJUU MASHARIKI,BT,GN,O,5,lutjanus fulviflamma,Kelea,Reef Fish,LDW,3,14,9000
5,11,2023,Pwani,Mafia,Bwejuu,MIMP,KWA MAMBO,PC,MN,P,4,caranx tille,Kolekole,Reef Fish,NXT,52,20,60000
5,11,2023,Pwani,Mafia,Bwejuu,MIMP,MAWE MATATU - BWEJUU,BT,GN,O,5,siganus sp.,Tasi,Reef Fish,SGL,28,8.5,25500
5,11,2023,Pwani,Mafia,Bwejuu,MIMP,BWEJUU MASHARIKI,BT,GN,O,5,lutjanus fulviflamma,Kelea,Reef Fish,LDW,3,14,9000
5,11,2023,Pwani,Mafia,Bwejuu,MIMP,KWA MAMBO,PC,MN,P,4,caranx tille,Kolekole,Reef Fish,NXT,52,20,60000
4,11,2023,Pwani,Mafia,Bwejuu,MIMP,BIMCHEMU,BT,GN,O,5,siganus sp.,Tasi,Reef Fish,SGL,32,10,30000
4,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,anguilliformes,Mkunga,Reef Fish,ELE,2,10,30000
4,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,6,10,30000
4,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,10,15,45000
4,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,1,netuma thalassina,Hongwe,Reef Fish,NTT,48,97,291000
4,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,18,36,108000
4,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,penaeus bubulus,Kamba Mti / Weusi,Prawn,PBA,30,3,45000
4,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,GN,P,2,fenneropenaeus indicus,Kamba Mti / Weupe,Prawn,PNI,80,2,10000
4,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
FUNGUNI - SIMBAURANGA",DC,GN,P,2,saradini,Mbarata,Small Pelagic,CL,600,30,60000
4,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,penaeus bubulus,Kamba Mti / Weusi,Prawn,PBA,60,6,90000
4,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,fenneropenaeus indicus,Kamba Mti / Weupe,Prawn,PNI,480,12,60000
4,11,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
KIKUNGUNI",DC,GN,P,2,fenneropenaeus indicus,Kamba Mti / Weupe,Prawn,PNI,480,12,60000
